Time,iL1,iL2,V3,V1,vC1,vC2
0.000233,20.3277,-0.62394,0.33,1,10.918,8.17528
0.000234,20.4237,-0.64577,0.34,1,10.9116,8.15894
0.000235,20.5197,-0.667586,0.35,1,10.9051,8.14264
0.000236,20.6157,-0.689389,0.36,1,10.8983,8.12637
0.000237,20.7117,-0.711178,0.37,1,10.8913,8.11013
0.000238,20.8077,-0.732953,0.38,1,10.8841,8.09393
0.000239,20.9037,-0.754713,0.39,1,10.8766,8.07776
0.00024,20.9997,-0.776458,0.4,1,10.869,8.06162
0.000241,21.0572,-0.760032,0.41,0,11.0794,8.26326
0.000242,21.1139,-0.743203,0.42,0,11.2904,8.46491
0.000243,21.17,-0.726071,0.43,0,11.5018,8.66654
0.000244,21.2253,-0.708536,0.44,0,11.7138,8.86816
0.000245,21.2797,-0.690597,0.45,0,11.9263,9.06974
0.000246,21.3333,-0.672256,0.46,0,12.1394,9.27128
0.000247,21.386,-0.653511,0.47,0,12.353,9.47276
0.000248,21.438,-0.634364,0.48,0,12.5671,9.67417
0.000249,21.4891,-0.614814,0.49,0,12.7817,9.8755
0.00025,21.5393,-0.594861,0.5,0,12.9969,10.0767
0.000251,21.5888,-0.574506,0.51,0,13.2125,10.2779
0.000252,21.6374,-0.553749,0.52,0,13.4286,10.4789
0.000253,21.6852,-0.53259,0.53,0,13.6453,10.6798
0.000254,21.7321,-0.511029,0.54,0,13.8623,10.8805
0.000255,21.7782,-0.489067,0.55,0,14.0799,11.0811
0.000256,21.8234,-0.466704,0.56,0,14.2979,11.2815
0.000257,21.8679,-0.44394,0.57,0,14.5164,11.4818
0.000258,21.9114,-0.420776,0.58,0,14.7353,11.6818
0.000259,21.9542,-0.397212,0.59,0,14.9546,11.8817
0.00026,21.9961,-0.373249,0.6,0,15.1743,12.0813
0.000261,22.0372,-0.348886,0.61,0,15.3945,12.2807
0.000262,22.0774,-0.324125,0.62,0,15.6151,12.4799
0.000263,22.1168,-0.298966,0.63,0,15.836,12.6789
0.000264,22.1553,-0.273409,0.64,0,16.0574,12.8775
0.000265,22.193,-0.247455,0.65,0,16.2791,13.0759
