Time,iL1,iL2,vC1,vC2,V2,V3,V1
0.000151,6.97567,0.00477924,5.36899,0.00536977,0.4,0.49,0
0.000152,7.01827,0.00477385,5.43896,0.00540676,0.4,0.48,0
0.000153,7.06079,0.00476843,5.50935,0.00544362,0.4,0.47,0
0.000154,7.10325,0.00476297,5.58017,0.00548035,0.4,0.46,0
0.000155,7.14563,0.00475747,5.65142,0.00551696,0.4,0.45,0
0.000156,7.18795,0.00475193,5.72309,0.00555343,0.4,0.44,0
0.000157,7.23019,0.00474636,5.79518,0.00558978,0.4,0.43,0
0.000158,7.27235,0.00474075,5.86769,0.005626,0.4,0.42,0
0.000159,7.31445,0.00473511,5.94062,0.00566209,0.4,0.41,0
0.00016,7.35647,0.00472943,6.01398,0.00569806,0.4,0.4,0
0.000161,7.3984,0.010793,6.08777,0.00577927,0.4,0.39,1
0.000162,7.44026,0.0169304,6.16191,0.00592142,0.4,0.38,1
0.000163,7.48206,0.0231235,6.23632,0.00610966,0.4,0.37,1
0.000164,7.52379,0.029391,6.31109,0.00635976,0.4,0.36,1
0.000165,7.56544,0.0357331,6.38621,0.00667235,0.4,0.35,1
0.000166,7.60701,0.0421502,6.46168,0.00704805,0.4,0.34,1
0.000167,7.64852,0.0486425,6.5375,0.00748748,0.4,0.33,1
0.000168,7.68994,0.0552104,6.61368,0.00799126,0.4,0.32,1
0.000169,7.73129,0.0618541,6.6902,0.00856003,0.4,0.31,1
0.00017,7.77256,0.0685738,6.76707,0.00919442,0.4,0.3,1
0.000171,7.81375,0.0753699,6.84428,0.00989505,0.4,0.29,1
0.000172,7.85487,0.0822427,6.92183,0.0106626,0.4,0.28,1
0.000173,7.89591,0.0891924,6.99973,0.0114976,0.4,0.27,1
0.000174,7.93687,0.0962193,7.07797,0.0124007,0.4,0.26,1
0.000175,7.97775,0.103324,7.15654,0.0133727,0.4,0.25,1
0.000176,8.01856,0.110506,7.23545,0.014414,0.4,0.24,1
0.000177,8.05928,0.117766,7.3147,0.0155254,0.4,0.23,1
0.000178,8.09993,0.125104,7.39428,0.0167076,0.4,0.22,1
0.000179,8.14049,0.132521,7.4742,0.017961,0.4,0.21,1
0.00018,8.18098,0.140017,7.55444,0.0192865,0.4,0.2,1
0.000181,8.22138,0.147592,7.63502,0.0206845,0.4,0.19,1
0.000182,8.26171,0.155246,7.71592,0.0221559,0.4,0.18,1
0.000183,8.30195,0.162979,7.79714,0.0237012,0.4,0.17,1
0.000184,8.34211,0.170793,7.8787,0.025321,0.4,0.16,1
0.000185,8.3822,0.178686,7.96057,0.027016,0.4,0.15,1
0.000186,8.42219,0.18666,8.04276,0.028787,0.4,0.14,1
0.000187,8.46211,0.194714,8.12528,0.0306344,0.4,0.13,1
0.000188,8.50194,0.202849,8.20811,0.032559,0.4,0.12,1
0.000189,8.54169,0.211065,8.29126,0.0345615,0.4,0.11,1
0.00019,8.58136,0.219363,8.37472,0.0366424,0.4,0.1,1
0.000191,8.62094,0.227742,8.4585,0.0388025,0.4,0.09,1
0.000192,8.66044,0.236202,8.54259,0.0410424,0.4,0.08,1
0.000193,8.69986,0.244745,8.62698,0.0433627,0.4,0.07,1
0.000194,8.73919,0.25337,8.71169,0.0457642,0.4,0.06,1
0.000195,8.77843,0.262077,8.7967,0.0482474,0.4,0.05,1
0.000196,8.8176,0.270867,8.88201,0.050813,0.4,0.04,1
0.000197,8.85667,0.279739,8.96763,0.0534618,0.4,0.03,1
0.000198,8.89566,0.288695,9.05355,0.0561943,0.4,0.02,1
0.000199,8.93456,0.297734,9.13977,0.0590113,0.4,0.01,1
0.0002,8.97338,0.306857,9.22629,0.0619133,0.4,4.60786e-015,1
0.000201,9.01211,0.316063,9.3131,0.0649011,0.4,0.01,1
0.000202,9.05075,0.325353,9.40021,0.0679753,0.4,0.02,1
0.000203,9.08931,0.334728,9.48761,0.0711366,0.4,0.03,1
0.000204,9.12778,0.344186,9.5753,0.0743856,0.4,0.04,1
0.000205,9.16616,0.353729,9.66328,0.0777231,0.4,0.05,1
0.000206,9.20445,0.363357,9.75155,0.0811496,0.4,0.06,1
0.000207,9.24266,0.37307,9.8401,0.084666,0.4,0.07,1
0.000208,9.28077,0.382868,9.92894,0.0882727,0.4,0.08,1
0.000209,9.3188,0.392752,10.0181,0.0919706,0.4,0.09,1
0.00021,9.35673,0.402721,10.1075,0.0957602,0.4,0.1,1
0.000211,9.39458,0.412775,10.1971,0.0996423,0.4,0.11,1
0.000212,9.43234,0.422916,10.2871,0.103617,0.4,0.12,1
0.000213,9.47001,0.433142,10.3773,0.107686,0.4,0.13,1
0.000214,9.50759,0.443455,10.4678,0.11185,0.4,0.14,1
0.000215,9.54507,0.453854,10.5586,0.116109,0.4,0.15,1
0.000216,9.58247,0.46434,10.6497,0.120463,0.4,0.16,1
0.000217,9.61977,0.474913,10.741,0.124914,0.4,0.17,1
0.000218,9.65699,0.485572,10.8325,0.129462,0.4,0.18,1
0.000219,9.69411,0.496319,10.9244,0.134108,0.4,0.19,1
0.00022,9.73114,0.507153,11.0165,0.138852,0.4,0.2,1
0.000221,9.76807,0.518074,11.1089,0.143696,0.4,0.21,1
