Time,iL,v
0.000316,9.9608,-10.3062
0.000317,9.94011,-10.3851
0.000318,9.91926,-10.4635
0.000319,9.89825,-10.5416
0.00032,9.87709,-10.6193
0.000321,9.85578,-10.6967
0.000322,9.83431,-10.7736
0.000323,9.81268,-10.8502
0.000324,9.7909,-10.9265
0.000325,9.76898,-11.0024
0.000326,9.7469,-11.0779
0.000327,9.72466,-11.153
0.000328,9.70228,-11.2277
0.000329,9.67975,-11.3021
0.00033,9.65707,-11.3761
0.000331,9.63425,-11.4498
0.000332,9.61128,-11.523
0.000333,9.58816,-11.5959
0.000334,9.56489,-11.6684
0.000335,9.54148,-11.7405
0.000336,9.51793,-11.8123
0.000337,9.49423,-11.8836
0.000338,9.4704,-11.9546
0.000339,9.44642,-12.0252
0.00034,9.42229,-12.0954
0.000341,9.39803,-12.1653
0.000342,9.37363,-12.2347
0.000343,9.34909,-12.3038
0.000344,9.32442,-12.3725
0.000345,9.2996,-12.4408
0.000346,9.27466,-12.5087
0.000347,9.24957,-12.5763
0.000348,9.22435,-12.6434
0.000349,9.199,-12.7102
0.00035,9.17351,-12.7765
0.000351,9.14789,-12.8425
0.000352,9.12214,-12.9081
0.000353,9.09626,-12.9733
0.000354,9.07025,-13.0382
0.000355,9.0441,-13.1026
0.000356,9.01784,-13.1666
0.000357,8.99144,-13.2303
0.000358,8.96491,-13.2935
0.000359,8.93826,-13.3564
0.00036,8.91149,-13.4189
0.000361,9.00749,-13.3921
0.000362,9.10349,-13.3653
0.000363,9.19949,-13.3386
0.000364,9.29549,-13.312
0.000365,9.39149,-13.2854
0.000366,9.48749,-13.2588
0.000367,9.58349,-13.2324
0.000368,9.67949,-13.2059
0.000369,9.77549,-13.1795
0.00037,9.87149,-13.1532
0.000371,9.96749,-13.1269
0.000372,10.0635,-13.1007
0.000373,10.1595,-13.0745
0.000374,10.2555,-13.0484
0.000375,10.3515,-13.0223
0.000376,10.4475,-12.9963
0.000377,10.5435,-12.9703
0.000378,10.6395,-12.9444
0.000379,10.7355,-12.9186
0.00038,10.8315,-12.8927
0.000381,10.9275,-12.867
0.000382,11.0235,-12.8413
0.000383,11.1195,-12.8156
0.000384,11.2155,-12.79
0.000385,11.3115,-12.7645
0.000386,11.4075,-12.739
0.000387,11.5035,-12.7135
0.000388,11.5995,-12.6881
0.000389,11.6955,-12.6628
0.00039,11.7915,-12.6375
0.000391,11.8875,-12.6122
0.000392,11.9835,-12.587
0.000393,12.0795,-12.5619
0.000394,12.1755,-12.5368
0.000395,12.2715,-12.5117
0.000396,12.3675,-12.4867
0.000397,12.4635,-12.4618
0.000398,12.5595,-12.4369
0.000399,12.6555,-12.412
0.0004,12.7515,-12.3872
0.000401,12.8475,-12.3625
0.000402,12.9435,-12.3378
0.000403,13.0395,-12.3131
0.000404,13.1355,-12.2885
0.000405,13.2315,-12.264
0.000406,13.3275,-12.2395
0.000407,13.4235,-12.215
0.000408,13.5195,-12.1906
0.000409,13.6155,-12.1662
0.00041,13.7115,-12.1419
0.000411,13.8075,-12.1177
0.000412,13.9035,-12.0935
0.000413,13.9995,-12.0693
0.000414,14.0955,-12.0452
0.000415,14.1915,-12.0211
0.000416,14.2875,-11.9971
0.000417,14.3835,-11.9731
0.000418,14.4795,-11.9492
0.000419,14.5755,-11.9253
0.00042,14.6715,-11.9015
0.000421,14.7675,-11.8777
0.000422,14.8635,-11.854
0.000423,14.9595,-11.8303
0.000424,15.0555,-11.8067
0.000425,15.1515,-11.7831
0.000426,15.2475,-11.7595
0.000427,15.3435,-11.736
0.000428,15.4395,-11.7126
0.000429,15.5355,-11.6892
0.00043,15.6315,-11.6658
0.000431,15.7275,-11.6425
0.000432,15.8235,-11.6193
0.000433,15.9195,-11.596
0.000434,16.0155,-11.5729
0.000435,16.1115,-11.5498
0.000436,16.2075,-11.5267
0.000437,16.3035,-11.5037
0.000438,16.3995,-11.4807
0.000439,16.4955,-11.4577
0.00044,16.5915,-11.4348
0.000441,16.5684,-11.5775
0.000442,16.545,-11.7196
0.000443,16.5214,-11.8614
0.000444,16.4976,-12.0026
0.000445,16.4734,-12.1433
0.000446,16.449,-12.2835
0.000447,16.4243,-12.4232
0.000448,16.3993,-12.5623
0.000449,16.374,-12.7009
0.00045,16.3485,-12.839
0.000451,16.3227,-12.9765
0.000452,16.2966,-13.1135
0.000453,16.2702,-13.25
0.000454,16.2436,-13.3859
0.000455,16.2167,-13.5213
0.000456,16.1895,-13.6562
0.000457,16.1621,-13.7905
0.000458,16.1343,-13.9243
0.000459,16.1064,-14.0575
0.00046,16.0781,-14.1902
0.000461,16.0496,-14.3223
0.000462,16.0208,-14.4539
0.000463,15.9918,-14.5849
0.000464,15.9625,-14.7153
0.000465,15.9329,-14.8453
0.000466,15.9031,-14.9746
0.000467,15.873,-15.1034
0.000468,15.8427,-15.2317
0.000469,15.8121,-15.3594
0.00047,15.7813,-15.4865
0.000471,15.7502,-15.613
0.000472,15.7188,-15.739
0.000473,15.6872,-15.8645
0.000474,15.6553,-15.9893
0.000475,15.6232,-16.1136
0.000476,15.5909,-16.2373
0.000477,15.5583,-16.3605
0.000478,15.5254,-16.483
0.000479,15.4924,-16.605
