Time,iL,v,V1,V2
0.000352,3.57801,6.24809,1,0
0.000353,3.57565,6.27134,1,0
0.000354,3.5733,6.29452,1,0
0.000355,3.57095,6.31763,1,0
0.000356,3.56862,6.34067,1,0
0.000357,3.5663,6.36364,1,0
0.000358,3.56398,6.38654,1,0
0.000359,3.56168,6.40937,1,0
0.00036,3.55938,6.43214,1,0
0.000361,3.56977,6.41929,0,1
0.000362,3.57991,6.40647,0,1
0.000363,3.58988,6.39367,0,1
0.000364,3.5996,6.3809,0,1
0.000365,3.6091,6.36815,0,1
0.000366,3.61837,6.35543,0,1
0.000367,3.62742,6.34273,0,1
0.000368,3.63625,6.33005,0,1
0.000369,3.64488,6.31741,0,1
0.00037,3.6533,6.30478,0,1
0.000371,3.66152,6.29219,0,1
0.000372,3.66955,6.27962,0,1
0.000373,3.67739,6.26707,0,1
0.000374,3.68504,6.25455,0,1
0.000375,3.69251,6.24205,0,1
0.000376,3.6998,6.22958,0,1
0.000377,3.70692,6.21713,0,1
0.000378,3.71387,6.20471,0,1
0.000379,3.72066,6.19231,0,1
0.00038,3.72728,6.17994,0,1
0.000381,3.73375,6.16759,0,1
0.000382,3.74006,6.15527,0,1
0.000383,3.74623,6.14297,0,1
0.000384,3.75225,6.1307,0,1
0.000385,3.75812,6.11845,0,1
0.000386,3.76386,6.10623,0,1
0.000387,3.76946,6.09403,0,1
0.000388,3.77492,6.08185,0,1
0.000389,3.78026,6.0697,0,1
0.00039,3.78547,6.05757,0,1
0.000391,3.79056,6.04547,0,1
0.000392,3.79553,6.03339,0,1
0.000393,3.80038,6.02133,0,1
0.000394,3.80511,6.0093,0,1
0.000395,3.80973,5.9973,0,1
0.000396,3.81424,5.98531,0,1
0.000397,3.81865,5.97336,0,1
0.000398,3.82295,5.96142,0,1
0.000399,3.82715,5.94951,0,1
0.0004,3.83125,5.93762,0,1
0.000401,3.83525,5.92576,0,1
0.000402,3.83916,5.91392,0,1
0.000403,3.84297,5.9021,0,1
0.000404,3.8467,5.89031,0,1
0.000405,3.85033,5.87854,0,1
0.000406,3.85388,5.8668,0,1
0.000407,3.85735,5.85507,0,1
0.000408,3.86073,5.84338,0,1
0.000409,3.86403,5.8317,0,1
0.00041,3.86726,5.82005,0,1
0.000411,3.8704,5.80842,0,1
0.000412,3.87348,5.79682,0,1
0.000413,3.87648,5.78523,0,1
0.000414,3.87941,5.77367,0,1
0.000415,3.88227,5.76214,0,1
0.000416,3.88506,5.75063,0,1
0.000417,3.88778,5.73914,0,1
0.000418,3.89045,5.72767,0,1
0.000419,3.89304,5.71623,0,1
0.00042,3.89558,5.7048,0,1
0.000421,3.89806,5.69341,0,1
0.000422,3.90047,5.68203,0,1
0.000423,3.90283,5.67068,0,1
0.000424,3.90514,5.65935,0,1
0.000425,3.90739,5.64804,0,1
0.000426,3.90958,5.63676,0,1
0.000427,3.91173,5.62549,0,1
0.000428,3.91382,5.61425,0,1
0.000429,3.91587,5.60304,0,1
0.00043,3.91786,5.59184,0,1
0.000431,3.91981,5.58067,0,1
0.000432,3.92171,5.56952,0,1
0.000433,3.92357,5.55839,0,1
0.000434,3.92538,5.54729,0,1
0.000435,3.92715,5.5362,0,1
0.000436,3.92888,5.52514,0,1
0.000437,3.93056,5.5141,0,1
0.000438,3.93221,5.50308,0,1
0.000439,3.93382,5.49209,0,1
0.00044,3.93539,5.48112,0,1
0.000441,3.9261,5.5094,1,0
0.000442,3.91698,5.53753,1,0
0.000443,3.90797,5.56555,1,0
0.000444,3.89913,5.59343,1,0
0.000445,3.89044,5.62116,1,0
0.000446,3.8819,5.64875,1,0
0.000447,3.87351,5.6762,1,0
0.000448,3.86527,5.70352,1,0
0.000449,3.85716,5.73069,1,0
0.00045,3.8492,5.75774,1,0
0.000451,3.84137,5.78465,1,0
0.000452,3.83367,5.81143,1,0
0.000453,3.82611,5.83808,1,0
0.000454,3.81867,5.8646,1,0
0.000455,3.81135,5.89099,1,0
0.000456,3.80416,5.91726,1,0
0.000457,3.79708,5.94341,1,0
0.000458,3.79012,5.96943,1,0
0.000459,3.78328,5.99533,1,0
0.00046,3.77654,6.02112,1,0
0.000461,3.76992,6.04678,1,0
0.000462,3.7634,6.07233,1,0
0.000463,3.75698,6.09776,1,0
0.000464,3.75067,6.12308,1,0
0.000465,3.74446,6.14828,1,0
0.000466,3.73834,6.17337,1,0
0.000467,3.73232,6.19835,1,0
0.000468,3.72639,6.22323,1,0
0.000469,3.72056,6.24799,1,0
0.00047,3.71481,6.27265,1,0
0.000471,3.70916,6.2972,1,0
0.000472,3.70359,6.32164,1,0
0.000473,3.6981,6.34598,1,0
0.000474,3.69269,6.37022,1,0
0.000475,3.68737,6.39436,1,0
0.000476,3.68212,6.41839,1,0
0.000477,3.67695,6.44233,1,0
0.000478,3.67186,6.46616,1,0
0.000479,3.66684,6.4899,1,0
0.00048,3.66189,6.51354,1,0
0.000481,3.65701,6.53708,1,0
0.000482,3.6522,6.56053,1,0
0.000483,3.64746,6.58388,1,0
0.000484,3.64279,6.60714,1,0
0.000485,3.63818,6.63031,1,0
0.000486,3.63363,6.65339,1,0
0.000487,3.62915,6.67637,1,0
0.000488,3.62473,6.69927,1,0
0.000489,3.62036,6.72207,1,0
0.00049,3.61606,6.74478,1,0
0.000491,3.61181,6.76741,1,0
0.000492,3.60762,6.78995,1,0
0.000493,3.60349,6.8124,1,0
0.000494,3.59941,6.83477,1,0
0.000495,3.59538,6.85705,1,0
0.000496,3.5914,6.87925,1,0
0.000497,3.58747,6.90137,1,0
0.000498,3.58359,6.9234,1,0
0.000499,3.57976,6.94534,1,0
0.0005,3.57598,6.96721,1,0
0.000501,3.57225,6.989,1,0
0.000502,3.56856,7.0107,1,0
0.000503,3.56491,7.03232,1,0
0.000504,3.56131,7.05387,1,0
0.000505,3.55775,7.07533,1,0
0.000506,3.55424,7.09672,1,0
0.000507,3.55076,7.11803,1,0
0.000508,3.54733,7.13927,1,0
0.000509,3.54393,7.16042,1,0
0.00051,3.54058,7.1815,1,0
0.000511,3.53726,7.20251,1,0
0.000512,3.53398,7.22344,1,0
0.000513,3.53073,7.24429,1,0
0.000514,3.52753,7.26508,1,0
0.000515,3.52435,7.28579,1,0
0.000516,3.52121,7.30642,1,0
0.000517,3.51811,7.32698,1,0
0.000518,3.51504,7.34748,1,0
0.000519,3.512,7.3679,1,0
0.00052,3.50899,7.38824,1,0
0.000521,3.50601,7.40852,1,0
0.000522,3.50306,7.42873,1,0
0.000523,3.50015,7.44887,1,0
0.000524,3.49726,7.46894,1,0
0.000525,3.4944,7.48894,1,0
0.000526,3.49157,7.50887,1,0
0.000527,3.48877,7.52873,1,0
0.000528,3.486,7.54853,1,0
0.000529,3.48325,7.56826,1,0
0.00053,3.48053,7.58792,1,0
0.000531,3.47783,7.60752,1,0
0.000532,3.47516,7.62705,1,0
0.000533,3.47252,7.64651,1,0
0.000534,3.46989,7.66591,1,0
0.000535,3.4673,7.68525,1,0
0.000536,3.46472,7.70452,1,0
0.000537,3.46217,7.72373,1,0
0.000538,3.45964,7.74287,1,0
0.000539,3.45714,7.76195,1,0
0.00054,3.45465,7.78096,1,0
0.000541,3.45219,7.79992,1,0
0.000542,3.44975,7.81881,1,0
0.000543,3.44733,7.83764,1,0
0.000544,3.44493,7.8564,1,0
0.000545,3.44254,7.87511,1,0
0.000546,3.44018,7.89375,1,0
0.000547,3.43784,7.91234,1,0
0.000548,3.43552,7.93086,1,0
0.000549,3.43321,7.94933,1,0
0.00055,3.43092,7.96773,1,0
