Time,I(Le),I(L),Vc
0.000185,23.4068,-0.718027,52.3881
0.000186,23.4699,-0.703942,52.8711
0.000187,23.5322,-0.689617,53.3551
0.000188,23.5936,-0.675053,53.84
0.000189,23.6541,-0.660249,54.3258
0.00019,23.7138,-0.645204,54.8125
0.000191,23.7727,-0.629919,55.3002
0.000192,23.8307,-0.614393,55.7886
0.000193,23.8879,-0.598627,56.278
0.000194,23.9442,-0.582619,56.7681
0.000195,23.9997,-0.566371,57.259
0.000196,24.0543,-0.549881,57.7507
0.000197,24.1081,-0.533149,58.2432
0.000198,24.161,-0.516176,58.7364
0.000199,24.2131,-0.498961,59.2302
0.0002,24.2643,-0.481504,59.7248
0.000201,24.3146,-0.463805,60.2201
0.000202,24.3641,-0.445865,60.7159
0.000203,24.4128,-0.427682,61.2125
0.000204,24.4606,-0.409256,61.7096
0.000205,24.5075,-0.390589,62.2072
0.000206,24.5536,-0.371679,62.7055
0.000207,24.5989,-0.352527,63.2042
0.000208,24.6433,-0.333132,63.7035
0.000209,24.6868,-0.313495,64.2033
0.00021,24.7295,-0.293615,64.7035
0.000211,24.7713,-0.273493,65.2042
0.000212,24.8122,-0.253128,65.7053
0.000213,24.8523,-0.232521,66.2068
0.000214,24.8916,-0.211672,66.7087
0.000215,24.93,-0.19058,67.2109
0.000216,24.9675,-0.169246,67.7135
0.000217,25.0042,-0.14767,68.2164
0.000218,25.04,-0.125852,68.7196
0.000219,25.075,-0.103792,69.223
0.00022,25.1091,-0.0814896,69.7267
0.000221,25.1424,-0.0589456,70.2306
0.000222,25.1748,-0.0361599,70.7347
0.000223,25.2063,-0.0131326,71.239
0.000224,25.2368,0.0101955,71.7435
0.000225,25.2665,0.0337656,72.2482
0.000226,25.2954,0.0575166,72.7529
0.000227,25.3236,0.0815085,73.2577
0.000228,25.3509,0.105741,73.7625
0.000229,25.3773,0.130214,74.2675
0.00023,25.4029,0.154928,74.7724
0.000231,25.4276,0.179881,75.2774
0.000232,25.4515,0.205075,75.7823
0.000233,25.4746,0.230508,76.2872
0.000234,25.4968,0.25618,76.7921
0.000235,25.5181,0.282091,77.2968
0.000236,25.5386,0.308242,77.8015
0.000237,25.5583,0.334631,78.306
0.000238,25.5771,0.361258,78.8104
0.000239,25.595,0.388123,79.3147
0.00024,25.6121,0.415225,79.8187
0.000241,25.6284,0.442565,80.3225
0.000242,25.6439,0.470142,80.8261
0.000243,25.6585,0.497956,81.3295
0.000244,25.6722,0.526006,81.8325
0.000245,25.6851,0.554292,82.3353
0.000246,25.6972,0.582813,82.8377
0.000247,25.7085,0.611569,83.3399
0.000248,25.7189,0.64056,83.8416
0.000249,25.7285,0.669786,84.343
0.00025,25.7372,0.699245,84.8439
0.000251,25.7451,0.728938,85.3445
0.000252,25.7522,0.758863,85.8446
0.000253,25.7585,0.789022,86.3442
0.000254,25.7639,0.819412,86.8433
0.000255,25.7685,0.850034,87.342
0.000256,25.7723,0.880888,87.8401
0.000257,25.7753,0.911972,88.3376
0.000258,25.7774,0.943286,88.8346
0.000259,25.7788,0.97483,89.331
0.00026,25.7793,1.0066,89.8267
0.000261,25.779,1.0386,90.3219
0.000262,25.7779,1.07083,90.8164
0.000263,25.7759,1.10329,91.3101
0.000264,25.7732,1.13597,91.8032
0.000265,25.7697,1.16888,92.2956
0.000266,25.7653,1.20202,92.7873
0.000267,25.7602,1.23538,93.2781
0.000268,25.7542,1.26897,93.7682
0.000269,25.7474,1.30278,94.2575
0.00027,25.7399,1.33681,94.746
0.000271,25.7308,1.32115,95.2607
0.000272,25.7209,1.30549,95.7752
0.000273,25.7104,1.28985,96.2895
0.000274,25.699,1.2742,96.8036
0.000275,25.6868,1.25857,97.3174
0.000276,25.6737,1.24295,97.831
0.000277,25.6598,1.22733,98.3444
0.000278,25.645,1.21172,98.8574
