Time,I(L1),Vout
0.000439,-5.00749,37.5319
0.00044,-4.91149,37.39
0.000441,-4.93259,37.4721
0.000442,-4.95352,37.5549
0.000443,-4.97433,37.6381
0.000444,-4.99497,37.7219
0.000445,-5.01544,37.8064
0.000446,-5.03574,37.8915
0.000447,-5.05587,37.9771
0.000448,-5.07583,38.0634
0.000449,-5.09562,38.1502
0.00045,-5.11523,38.2376
0.000451,-5.13467,38.3255
0.000452,-5.15393,38.414
0.000453,-5.17301,38.503
0.000454,-5.19191,38.5926
0.000455,-5.09591,38.4468
0.000456,-4.99991,38.3016
0.000457,-4.90391,38.1568
0.000458,-4.80791,38.0125
0.000459,-4.71191,37.8688
0.00046,-4.61591,37.7257
0.000461,-4.63636,37.7931
0.000462,-4.65667,37.8612
0.000463,-4.67688,37.9297
0.000464,-4.69695,37.999
0.000465,-4.71688,38.0689
0.000466,-4.73667,38.1394
0.000467,-4.75632,38.2105
0.000468,-4.77583,38.2823
0.000469,-4.79519,38.3547
0.00047,-4.81441,38.4277
0.000471,-4.83348,38.5012
0.000472,-4.8524,38.5754
0.000473,-4.87118,38.6501
0.000474,-4.8898,38.7254
0.000475,-4.7938,38.5791
0.000476,-4.6978,38.4334
0.000477,-4.6018,38.2881
0.000478,-4.5058,38.1434
0.000479,-4.4098,37.9992
0.00048,-4.3138,37.8555
0.000481,-4.33401,37.9087
0.000482,-4.35411,37.9627
0.000483,-4.37413,38.0171
0.000484,-4.39404,38.0723
0.000485,-4.41384,38.1282
0.000486,-4.43353,38.1847
0.000487,-4.4531,38.2419
0.000488,-4.47256,38.2998
0.000489,-4.4919,38.3584
0.00049,-4.51113,38.4176
0.000491,-4.53023,38.4774
0.000492,-4.54922,38.5379
0.000493,-4.56808,38.599
0.000494,-4.58682,38.6608
0.000495,-4.49082,38.5147
0.000496,-4.39482,38.3693
0.000497,-4.29882,38.2242
0.000498,-4.20282,38.0797
0.000499,-4.10682,37.9357
0.0005,-4.01082,37.7923
0.000501,-4.03117,37.832
0.000502,-4.05145,37.8725
0.000503,-4.07166,37.9136
0.000504,-4.09179,37.9555
0.000505,-4.11184,37.9981
0.000506,-4.1318,38.0414
0.000507,-4.15167,38.0855
0.000508,-4.17146,38.1303
0.000509,-4.19115,38.1758
0.00051,-4.21075,38.2221
0.000511,-4.23026,38.2691
0.000512,-4.24967,38.3167
0.000513,-4.26899,38.3651
0.000514,-4.28821,38.4142
0.000515,-4.19221,38.2691
0.000516,-4.09621,38.1245
0.000517,-4.00021,37.9804
0.000518,-3.90421,37.8368
0.000519,-3.80821,37.6938
0.00052,-3.71221,37.5512
0.000521,-3.73307,37.5784
0.000522,-3.75387,37.6064
0.000523,-3.77463,37.635
0.000524,-3.79533,37.6644
0.000525,-3.81597,37.6946
0.000526,-3.83655,37.7257
0.000527,-3.85707,37.7576
0.000528,-3.87752,37.7903
0.000529,-3.8979,37.8238
0.00053,-3.91822,37.8581
0.000531,-3.93847,37.8932
0.000532,-3.95865,37.9291
0.000533,-3.97875,37.9658
0.000534,-3.99878,38.0032
0.000535,-3.90278,37.8596
0.000536,-3.80678,37.7166
0.000537,-3.71078,37.574
0.000538,-3.61478,37.432
0.000539,-3.51878,37.2905
0.00054,-3.42278,37.1495
0.000541,-3.44446,37.165
0.000542,-3.46611,37.1815
0.000543,-3.48772,37.1987
0.000544,-3.50931,37.2168
0.000545,-3.53086,37.2358
0.000546,-3.55236,37.2557
0.000547,-3.57383,37.2765
0.000548,-3.59526,37.2982
0.000549,-3.61664,37.3207
0.00055,-3.63797,37.3442
0.000551,-3.65926,37.3686
0.000552,-3.6805,37.3938
0.000553,-3.70168,37.4199
0.000554,-3.72282,37.4468
0.000555,-3.62682,37.3054
0.000556,-3.53082,37.1645
0.000557,-3.43482,37.0239
0.000558,-3.33882,36.884
0.000559,-3.24282,36.7445
0.00056,-3.14682,36.6056
0.000561,-3.1696,36.6107
0.000562,-3.19237,36.6169
0.000563,-3.21513,36.6238
0.000564,-3.23787,36.6317
0.000565,-3.2606,36.6406
0.000566,-3.28331,36.6506
0.000567,-3.30599,36.6615
0.000568,-3.32866,36.6734
0.000569,-3.3513,36.6862
0.00057,-3.37391,36.7001
0.000571,-3.3965,36.7149
0.000572,-3.41905,36.7307
0.000573,-3.44157,36.7475
0.000574,-3.46406,36.7652
0.000575,-3.36806,36.6263
0.000576,-3.27206,36.488
0.000577,-3.17606,36.35
0.000578,-3.08006,36.2126
0.000579,-2.98406,36.0757
0.00058,-2.88806,35.9393
0.000581,-2.91219,35.9353
0.000582,-2.93632,35.9324
0.000583,-2.96046,35.9303
0.000584,-2.9846,35.9293
0.000585,-3.00874,35.9294
0.000586,-3.03288,35.9306
0.000587,-3.05702,35.9329
0.000588,-3.08115,35.9363
0.000589,-3.10527,35.9408
0.00059,-3.12938,35.9463
0.000591,-3.15348,35.953
0.000592,-3.17757,35.9606
