Time,I,V
0.0003,2.34848,12.1925
0.000301,2.38348,12.1565
0.000302,2.41848,12.1206
0.000303,2.45348,12.0847
0.000304,2.48848,12.0489
0.000305,2.52348,12.0133
0.000306,2.55848,11.9778
0.000307,2.54884,12.0781
0.000308,2.53912,12.1776
0.000309,2.52934,12.2766
0.00031,2.51948,12.3747
0.000311,2.50954,12.472
0.000312,2.49952,12.5685
0.000313,2.48943,12.6641
0.000314,2.47926,12.7589
0.000315,2.46901,12.853
0.000316,2.45869,12.9461
0.000317,2.4483,13.0385
0.000318,2.43783,13.13
0.000319,2.42729,13.2207
0.00032,2.41668,13.3106
0.000321,2.45168,13.2712
0.000322,2.48668,13.232
0.000323,2.52168,13.1928
0.000324,2.55668,13.1538
0.000325,2.59168,13.1149
0.000326,2.62668,13.0761
0.000327,2.61616,13.1768
0.000328,2.60556,13.2766
0.000329,2.5949,13.3758
0.00033,2.58416,13.4741
0.000331,2.57334,13.5716
0.000332,2.56244,13.6682
0.000333,2.55147,13.7639
0.000334,2.54042,13.8588
0.000335,2.52929,13.9528
0.000336,2.51809,14.0459
0.000337,2.50682,14.1381
0.000338,2.49547,14.2295
0.000339,2.48405,14.32
0.00034,2.47256,14.4096
0.000341,2.50756,14.367
0.000342,2.54256,14.3245
0.000343,2.57756,14.2821
0.000344,2.61256,14.2399
0.000345,2.64756,14.1978
0.000346,2.68256,14.1558
0.000347,2.67118,14.2562
0.000348,2.65971,14.3557
0.000349,2.64819,14.4546
0.00035,2.63658,14.5526
0.000351,2.6249,14.6496
0.000352,2.61314,14.7457
0.000353,2.60131,14.8409
0.000354,2.5894,14.9352
0.000355,2.57741,15.0286
0.000356,2.56535,15.1211
0.000357,2.55322,15.2127
0.000358,2.54101,15.3033
0.000359,2.52873,15.393
0.00036,2.51638,15.4818
0.000361,2.55138,15.436
0.000362,2.58638,15.3904
0.000363,2.62138,15.3449
0.000364,2.65638,15.2995
0.000365,2.69138,15.2542
0.000366,2.72638,15.2091
0.000367,2.71416,15.3087
0.000368,2.70185,15.4074
0.000369,2.68948,15.5054
0.00037,2.67704,15.6024
0.000371,2.66452,15.6984
0.000372,2.65192,15.7936
0.000373,2.63925,15.8877
0.000374,2.6265,15.9809
0.000375,2.61368,16.0732
0.000376,2.60079,16.1645
0.000377,2.58782,16.2548
0.000378,2.57478,16.3442
0.000379,2.56167,16.4326
0.00038,2.54849,16.52
0.000381,2.58349,16.4712
0.000382,2.61849,16.4225
0.000383,2.65349,16.3739
0.000384,2.68849,16.3255
0.000385,2.72349,16.2772
0.000386,2.75849,16.229
0.000387,2.74544,16.3273
0.000388,2.73232,16.4246
0.000389,2.71915,16.5212
0.00039,2.70589,16.6167
0.000391,2.69256,16.7113
0.000392,2.67915,16.8049
0.000393,2.66567,16.8975
0.000394,2.65212,16.9891
0.000395,2.63849,17.0797
0.000396,2.62479,17.1693
0.000397,2.61102,17.2579
0.000398,2.59718,17.3455
0.000399,2.58326,17.4322
0.0004,2.56928,17.5178
0.000401,2.60428,17.466
0.000402,2.63928,17.4144
0.000403,2.67428,17.3628
0.000404,2.70928,17.3115
0.000405,2.74428,17.2603
0.000406,2.77928,17.2092
0.000407,2.76546,17.3057
0.000408,2.75156,17.4011
0.000409,2.7376,17.4958
0.00041,2.72356,17.5894
0.000411,2.70946,17.6821
0.000412,2.69527,17.7736
0.000413,2.68102,17.8642
0.000414,2.66669,17.9538
0.000415,2.65229,18.0423
0.000416,2.63782,18.1297
0.000417,2.62328,18.2162
0.000418,2.60868,18.3016
0.000419,2.594,18.386
0.00042,2.57926,18.4693
0.000421,2.61426,18.4147
0.000422,2.64926,18.3603
0.000423,2.68426,18.306
0.000424,2.71926,18.2518
0.000425,2.75426,18.1978
0.000426,2.78926,18.144
0.000427,2.77469,18.2382
0.000428,2.76004,18.3313
0.000429,2.74534,18.4237
0.00043,2.73056,18.515
0.000431,2.71571,18.6052
0.000432,2.70079,18.6944
0.000433,2.6858,18.7825
0.000434,2.67074,18.8696
0.000435,2.65561,18.9556
0.000436,2.64041,19.0405
0.000437,2.62515,19.1244
0.000438,2.60981,19.2072
0.000439,2.59442,19.2889
0.00044,2.57895,19.3696
0.000441,2.61395,19.3124
0.000442,2.64895,19.2553
0.000443,2.68395,19.1983
0.000444,2.71895,19.1415
0.000445,2.75395,19.0849
0.000446,2.78895,19.0284
0.000447,2.77367,19.1199
0.000448,2.75832,19.2104
0.000449,2.74292,19.3
0.00045,2.72744,19.3886
0.000451,2.7119,19.4761
0.000452,2.69628,19.5625
0.000453,2.6806,19.6477
0.000454,2.66485,19.7319
0.000455,2.64903,19.8151
0.000456,2.63314,19.8971
0.000457,2.61719,19.978
0.000458,2.60118,20.0579
0.000459,2.5851,20.1366
0.00046,2.56896,20.2143
0.000461,2.60396,20.1545
0.000462,2.63896,20.0949
0.000463,2.67396,20.0355
0.000464,2.70896,19.9762
0.000465,2.74396,19.9171
0.000466,2.77896,19.8582
0.000467,2.76302,19.9467
0.000468,2.74701,20.0341
0.000469,2.73095,20.1207
0.00047,2.71482,20.2062
0.000471,2.69862,20.2905
0.000472,2.68235,20.3738
0.000473,2.66602,20.4559
0.000474,2.64962,20.5369
0.000475,2.63316,20.6168
0.000476,2.61663,20.6956
0.000477,2.60005,20.7733
0.000478,2.5834,20.8499
0.000479,2.56669,20.9253
0.00048,2.54992,20.9996
0.000481,2.58492,20.9375
0.000482,2.61992,20.8756
0.000483,2.65492,20.8139
0.000484,2.68992,20.7523
0.000485,2.72492,20.6909
0.000486,2.75992,20.6297
0.000487,2.74336,20.7149
0.000488,2.72674,20.799
0.000489,2.71007,20.8822
0.00049,2.69333,20.9643
0.000491,2.67652,21.0453
0.000492,2.65965,21.1251
0.000493,2.64272,21.2038
0.000494,2.62573,21.2813
0.000495,2.60867,21.3577
0.000496,2.59156,21.433
0.000497,2.57438,21.5072
0.000498,2.55715,21.5802
0.000499,2.53985,21.652
0.0005,2.5225,21.7228
0.000501,2.5575,21.6585
0.000502,2.5925,21.5945
0.000503,2.6275,21.5306
0.000504,2.6625,21.4669
0.000505,2.6975,21.4034
0.000506,2.7325,21.3401
0.000507,2.71538,21.4217
0.000508,2.69819,21.5022
0.000509,2.68096,21.5818
0.00051,2.66366,21.6603
0.000511,2.6463,21.7376
0.000512,2.62888,21.8137
0.000513,2.6114,21.8887
0.000514,2.59386,21.9626
0.000515,2.57626,22.0352
0.000516,2.55861,22.1068
0.000517,2.54089,22.1771
0.000518,2.52312,22.2464
0.000519,2.5053,22.3144
0.00052,2.48742,22.3814
0.000521,2.52242,22.3152
0.000522,2.55742,22.2492
0.000523,2.59242,22.1834
0.000524,2.62742,22.1178
0.000525,2.66242,22.0523
0.000526,2.69742,21.9871
0.000527,2.67978,22.0649
0.000528,2.66208,22.1416
0.000529,2.64434,22.2174
0.00053,2.62654,22.292
0.000531,2.60867,22.3654
0.000532,2.59075,22.4377
0.000533,2.57277,22.5088
0.000534,2.55474,22.5787
0.000535,2.53665,22.6475
0.000536,2.5185,22.7151
0.000537,2.5003,22.7815
0.000538,2.48205,22.8468
0.000539,2.46375,22.9109
0.00054,2.44539,22.9738
0.000541,2.48039,22.9059
0.000542,2.51539,22.8382
0.000543,2.55039,22.7706
0.000544,2.58539,22.7032
0.000545,2.62039,22.6361
0.000546,2.65539,22.5691
0.000547,2.6373,22.643
0.000548,2.61914,22.7156
0.000549,2.60094,22.7874
0.00055,2.58268,22.858
0.000551,2.56436,22.9275
0.000552,2.54599,22.9957
0.000553,2.52757,23.0627
0.000554,2.50909,23.1286
0.000555,2.49056,23.1933
0.000556,2.47198,23.2568
0.000557,2.45335,23.3192
0.000558,2.43467,23.3803
0.000559,2.41594,23.4403
0.00056,2.39717,23.4991
0.000561,2.43217,23.4297
0.000562,2.46717,23.3604
0.000563,2.50217,23.2913
0.000564,2.53717,23.2224
0.000565,2.57217,23.1537
0.000566,2.60717,23.0852
0.000567,2.58866,23.1549
0.000568,2.57009,23.2235
0.000569,2.55149,23.2911
0.00057,2.53283,23.3576
0.000571,2.51412,23.4229
0.000572,2.49535,23.487
0.000573,2.47654,23.5499
0.000574,2.45767,23.6116
0.000575,2.43876,23.6721
0.000576,2.4198,23.7314
0.000577,2.40079,23.7896
0.000578,2.38173,23.8465
0.000579,2.36263,23.9023
0.00058,2.34349,23.9569
0.000581,2.37849,23.8861
0.000582,2.41349,23.8154
0.000583,2.44849,23.745
0.000584,2.48349,23.6747
0.000585,2.51849,23.6047
0.000586,2.55349,23.5348
0.000587,2.53462,23.6004
0.000588,2.5157,23.6647
0.000589,2.49675,23.7282
0.00059,2.47774,23.7905
0.000591,2.45868,23.8515
0.000592,2.43958,23.9114
0.000593,2.42042,23.97
0.000594,2.40122,24.0275
0.000595,2.38198,24.0838
0.000596,2.36269,24.1388
0.000597,2.34336,24.1927
0.000598,2.32398,24.2454
0.000599,2.30456,24.2969
0.0006,2.28511,24.3473
0.000601,2.32011,24.2753
0.000602,2.35511,24.2035
0.000603,2.39011,24.1319
0.000604,2.42511,24.0605
0.000605,2.46011,23.9893
0.000606,2.49511,23.9184
0.000607,2.47594,23.9797
0.000608,2.45672,24.0397
0.000609,2.43746,24.0989
0.00061,2.41816,24.1569
0.000611,2.39881,24.2137
0.000612,2.37942,24.2693
0.000613,2.35998,24.3237
0.000614,2.3405,24.3769
0.000615,2.32097,24.4289
0.000616,2.30141,24.4797
0.000617,2.28181,24.5293
0.000618,2.26216,24.5777
0.000619,2.24248,24.625
0.00062,2.22276,24.671
0.000621,2.25776,24.5981
0.000622,2.29276,24.5253
0.000623,2.32776,24.4528
0.000624,2.36276,24.3804
0.000625,2.39776,24.3083
0.000626,2.43276,24.2364
0.000627,2.41334,24.2934
0.000628,2.39387,24.3492
0.000629,2.37437,24.4042
0.00063,2.35483,24.4579
0.000631,2.33524,24.5104
0.000632,2.31561,24.5617
0.000633,2.29594,24.6118
0.000634,2.27623,24.6608
0.000635,2.25648,24.7085
0.000636,2.2367,24.755
0.000637,2.21688,24.8004
0.000638,2.19702,24.8445
0.000639,2.17712,24.8875
0.00064,2.1572,24.9293
0.000641,2.1922,24.8556
0.000642,2.2272,24.7821
0.000643,2.2622,24.7088
0.000644,2.2972,24.6357
0.000645,2.3322,24.5628
0.000646,2.3672,24.4901
0.000647,2.34757,24.5429
0.000648,2.32791,24.5945
0.000649,2.30821,24.6451
0.00065,2.28848,24.6946
0.000651,2.2687,24.7429
0.000652,2.24889,24.79
0.000653,2.22904,24.8359
0.000654,2.20915,24.8806
0.000655,2.18923,24.9241
0.000656,2.16927,24.9664
0.000657,2.14928,25.0075
0.000658,2.12926,25.0474
0.000659,2.10921,25.0862
0.00066,2.08912,25.1238
0.000661,2.12412,25.0495
0.000662,2.15912,24.9754
0.000663,2.19412,24.9015
0.000664,2.22912,24.8279
0.000665,2.26412,24.7544
0.000666,2.29912,24.6812
0.000667,2.27935,24.7298
0.000668,2.25954,24.7772
0.000669,2.23969,24.8236
0.00067,2.21982,24.8689
0.000671,2.1999,24.913
0.000672,2.17996,24.956
0.000673,2.15998,24.9977
0.000674,2.13996,25.0382
0.000675,2.11991,25.0776
0.000676,2.09984,25.1157
0.000677,2.07973,25.1527
0.000678,2.05959,25.1885
0.000679,2.03943,25.2231
0.00068,2.01924,25.2566
0.000681,2.05424,25.1819
0.000682,2.08924,25.1075
0.000683,2.12424,25.0332
0.000684,2.15924,24.9591
0.000685,2.19424,24.8853
0.000686,2.22924,24.8116
0.000687,2.20936,24.8561
0.000688,2.18945,24.8994
0.000689,2.16951,24.9418
0.00069,2.14954,24.983
0.000691,2.12954,25.023
0.000692,2.10951,25.0619
0.000693,2.08944,25.0995
0.000694,2.06935,25.136
0.000695,2.04922,25.1713
0.000696,2.02907,25.2054
0.000697,2.00889,25.2384
0.000698,1.98869,25.2701
0.000699,1.96846,25.3007
0.0007,1.94821,25.3302
0.000701,1.98321,25.2553
0.000702,2.01821,25.1806
0.000703,2.05321,25.1061
0.000704,2.08821,25.0319
0.000705,2.12321,24.9578
0.000706,2.15821,24.884
0.000707,2.13828,24.9244
0.000708,2.11831,24.9637
0.000709,2.09833,25.0022
0.00071,2.07831,25.0394
0.000711,2.05827,25.0755
0.000712,2.03819,25.1103
0.000713,2.01809,25.1441
0.000714,1.99796,25.1766
0.000715,1.97781,25.208
0.000716,1.95763,25.2382
0.000717,1.93743,25.2672
0.000718,1.9172,25.2951
0.000719,1.89695,25.3218
0.00072,1.87669,25.3474
0.000721,1.91169,25.2724
0.000722,1.94669,25.1977
0.000723,1.98169,25.1232
0.000724,2.01669,25.0489
0.000725,2.05169,24.9747
0.000726,2.08669,24.9009
0.000727,2.06674,24.9375
0.000728,2.04677,24.9729
0.000729,2.02678,25.0075
0.00073,2.00676,25.0409
0.000731,1.98671,25.0732
0.000732,1.96664,25.1043
0.000733,1.94655,25.1342
0.000734,1.92643,25.1629
0.000735,1.90629,25.1905
0.000736,1.88612,25.217
0.000737,1.86594,25.2423
0.000738,1.84574,25.2664
0.000739,1.82551,25.2894
0.00074,1.80527,25.3113
0.000741,1.84027,25.2365
0.000742,1.87527,25.1619
0.000743,1.91027,25.0874
0.000744,1.94527,25.0132
0.000745,1.98027,24.9392
0.000746,2.01527,24.8654
0.000747,1.99536,24.8983
0.000748,1.97542,24.9301
0.000749,1.95547,24.961
0.00075,1.93549,24.9908
0.000751,1.91548,25.0194
0.000752,1.89545,25.0468
0.000753,1.87541,25.0731
0.000754,1.85534,25.0983
0.000755,1.83525,25.1223
0.000756,1.81514,25.1452
0.000757,1.79502,25.1669
0.000758,1.77488,25.1875
0.000759,1.75472,25.207
0.00076,1.73454,25.2253
0.000761,1.76954,25.1507
0.000762,1.80454,25.0763
0.000763,1.83954,25.0022
0.000764,1.87454,24.9282
0.000765,1.90954,24.8544
0.000766,1.94454,24.7809
0.000767,1.9247,24.8103
0.000768,1.90484,24.8386
0.000769,1.88495,24.866
0.00077,1.86505,24.8923
0.000771,1.84513,24.9174
0.000772,1.82518,24.9415
0.000773,1.80522,24.9643
0.000774,1.78524,24.9861
0.000775,1.76524,25.0067
0.000776,1.74523,25.0262
0.000777,1.7252,25.0445
0.000778,1.70516,25.0618
0.000779,1.6851,25.0779
0.00078,1.66504,25.0929
0.000781,1.70004,25.0187
0.000782,1.73504,24.9448
0.000783,1.77004,24.871
0.000784,1.80504,24.7974
0.000785,1.84004,24.724
0.000786,1.87504,24.6509
0.000787,1.8553,24.677
0.000788,1.83554,24.702
0.000789,1.81577,24.7261
0.00079,1.79598,24.7491
0.000791,1.77617,24.771
0.000792,1.75635,24.7918
0.000793,1.73651,24.8114
0.000794,1.71665,24.83
0.000795,1.69678,24.8474
0.000796,1.67689,24.8637
0.000797,1.657,24.8789
0.000798,1.63709,24.893
0.000799,1.61717,24.906
0.0008,1.59724,24.9179
0.000801,1.63224,24.8442
0.000802,1.66724,24.7708
0.000803,1.70224,24.6975
0.000804,1.73724,24.6244
0.000805,1.77224,24.5516
0.000806,1.80724,24.479
0.000807,1.78764,24.502
0.000808,1.76803,24.5239
0.000809,1.7484,24.545
0.00081,1.72875,24.5649
0.000811,1.70909,24.5838
0.000812,1.68942,24.6015
0.000813,1.66973,24.6182
0.000814,1.65003,24.6337
0.000815,1.63032,24.6482
0.000816,1.61059,24.6616
0.000817,1.59086,24.6739
0.000818,1.57112,24.6851
0.000819,1.55136,24.6952
0.00082,1.5316,24.7042
0.000821,1.5666,24.6311
0.000822,1.6016,24.5583
0.000823,1.6366,24.4857
0.000824,1.6716,24.4132
0.000825,1.7066,24.341
0.000826,1.7416,24.269
0.000827,1.72218,24.2891
0.000828,1.70273,24.3082
0.000829,1.68328,24.3264
0.00083,1.66381,24.3436
0.000831,1.64433,24.3596
0.000832,1.62484,24.3746
0.000833,1.60533,24.3885
0.000834,1.58582,24.4013
0.000835,1.56629,24.4131
0.000836,1.54675,24.4237
0.000837,1.52721,24.4333
0.000838,1.50766,24.4418
0.000839,1.4881,24.4493
0.00084,1.46854,24.4557
0.000841,1.50354,24.3834
0.000842,1.53854,24.3113
0.000843,1.57354,24.2394
0.000844,1.60854,24.1676
0.000845,1.64354,24.0961
0.000846,1.67854,24.0249
0.000847,1.65931,24.0424
