Time,iL,v,V1,V2
0.000349,9.19899,-12.7102,1,0
0.00035,9.17351,-12.7766,1,0
0.000351,9.14789,-12.8425,1,0
0.000352,9.12214,-12.9081,1,0
0.000353,9.09625,-12.9734,1,0
0.000354,9.07024,-13.0382,1,0
0.000355,9.0441,-13.1026,1,0
0.000356,9.01783,-13.1666,1,0
0.000357,8.99143,-13.2303,1,0
0.000358,8.96491,-13.2936,1,0
0.000359,8.93826,-13.3564,1,0
0.00036,8.91149,-13.4189,1,0
0.000361,9.00748,-13.3921,0,1
0.000362,9.10348,-13.3654,0,1
0.000363,9.19948,-13.3386,0,1
0.000364,9.29548,-13.312,0,1
0.000365,9.39148,-13.2854,0,1
0.000366,9.48748,-13.2589,0,1
0.000367,9.58348,-13.2324,0,1
0.000368,9.67948,-13.2059,0,1
0.000369,9.77548,-13.1795,0,1
0.00037,9.87148,-13.1532,0,1
0.000371,9.96748,-13.1269,0,1
0.000372,10.0635,-13.1007,0,1
0.000373,10.1595,-13.0745,0,1
0.000374,10.2555,-13.0484,0,1
0.000375,10.3515,-13.0223,0,1
0.000376,10.4475,-12.9963,0,1
0.000377,10.5435,-12.9703,0,1
0.000378,10.6395,-12.9444,0,1
0.000379,10.7355,-12.9186,0,1
0.00038,10.8315,-12.8928,0,1
0.000381,10.9275,-12.867,0,1
0.000382,11.0235,-12.8413,0,1
0.000383,11.1195,-12.8156,0,1
0.000384,11.2155,-12.79,0,1
0.000385,11.3115,-12.7645,0,1
0.000386,11.4075,-12.739,0,1
0.000387,11.5035,-12.7135,0,1
0.000388,11.5995,-12.6881,0,1
0.000389,11.6955,-12.6628,0,1
0.00039,11.7915,-12.6375,0,1
0.000391,11.8875,-12.6122,0,1
0.000392,11.9835,-12.587,0,1
0.000393,12.0795,-12.5619,0,1
0.000394,12.1755,-12.5368,0,1
0.000395,12.2715,-12.5117,0,1
0.000396,12.3675,-12.4867,0,1
0.000397,12.4635,-12.4618,0,1
0.000398,12.5595,-12.4369,0,1
0.000399,12.6555,-12.412,0,1
0.0004,12.7515,-12.3872,0,1
0.000401,12.8475,-12.3625,0,1
0.000402,12.9435,-12.3378,0,1
0.000403,13.0395,-12.3131,0,1
0.000404,13.1355,-12.2885,0,1
0.000405,13.2315,-12.264,0,1
0.000406,13.3275,-12.2395,0,1
0.000407,13.4235,-12.215,0,1
0.000408,13.5195,-12.1906,0,1
0.000409,13.6155,-12.1662,0,1
0.00041,13.7115,-12.1419,0,1
0.000411,13.8075,-12.1177,0,1
0.000412,13.9035,-12.0935,0,1
0.000413,13.9995,-12.0693,0,1
0.000414,14.0955,-12.0452,0,1
0.000415,14.1915,-12.0211,0,1
0.000416,14.2875,-11.9971,0,1
0.000417,14.3835,-11.9731,0,1
0.000418,14.4795,-11.9492,0,1
0.000419,14.5755,-11.9253,0,1
0.00042,14.6715,-11.9015,0,1
0.000421,14.7675,-11.8777,0,1
0.000422,14.8635,-11.854,0,1
0.000423,14.9595,-11.8303,0,1
0.000424,15.0555,-11.8067,0,1
0.000425,15.1515,-11.7831,0,1
0.000426,15.2475,-11.7596,0,1
0.000427,15.3435,-11.7361,0,1
0.000428,15.4395,-11.7126,0,1
0.000429,15.5355,-11.6892,0,1
0.00043,15.6315,-11.6658,0,1
0.000431,15.7275,-11.6425,0,1
0.000432,15.8235,-11.6193,0,1
0.000433,15.9195,-11.5961,0,1
0.000434,16.0155,-11.5729,0,1
0.000435,16.1115,-11.5498,0,1
0.000436,16.2075,-11.5267,0,1
0.000437,16.3035,-11.5037,0,1
0.000438,16.3995,-11.4807,0,1
0.000439,16.4955,-11.4577,0,1
0.00044,16.5915,-11.4348,0,1
0.000441,16.5684,-11.5775,1,0
0.000442,16.545,-11.7196,1,0
0.000443,16.5214,-11.8614,1,0
0.000444,16.4976,-12.0026,1,0
0.000445,16.4734,-12.1433,1,0
0.000446,16.449,-12.2835,1,0
0.000447,16.4243,-12.4232,1,0
0.000448,16.3993,-12.5623,1,0
0.000449,16.374,-12.7009,1,0
0.00045,16.3485,-12.839,1,0
0.000451,16.3227,-12.9765,1,0
0.000452,16.2966,-13.1135,1,0
0.000453,16.2702,-13.25,1,0
0.000454,16.2436,-13.3859,1,0
0.000455,16.2167,-13.5213,1,0
0.000456,16.1895,-13.6562,1,0
0.000457,16.1621,-13.7905,1,0
0.000458,16.1343,-13.9243,1,0
0.000459,16.1064,-14.0575,1,0
0.00046,16.0781,-14.1902,1,0
0.000461,16.0496,-14.3223,1,0
0.000462,16.0208,-14.4539,1,0
0.000463,15.9918,-14.5849,1,0
0.000464,15.9625,-14.7154,1,0
0.000465,15.9329,-14.8453,1,0
0.000466,15.9031,-14.9746,1,0
0.000467,15.873,-15.1034,1,0
0.000468,15.8427,-15.2317,1,0
0.000469,15.8121,-15.3594,1,0
0.00047,15.7812,-15.4865,1,0
0.000471,15.7501,-15.613,1,0
0.000472,15.7188,-15.739,1,0
0.000473,15.6872,-15.8645,1,0
0.000474,15.6553,-15.9893,1,0
0.000475,15.6232,-16.1136,1,0
0.000476,15.5909,-16.2373,1,0
0.000477,15.5583,-16.3605,1,0
0.000478,15.5254,-16.4831,1,0
0.000479,15.4924,-16.6051,1,0
0.00048,15.459,-16.7265,1,0
0.000481,15.4254,-16.8473,1,0
0.000482,15.3916,-16.9676,1,0
0.000483,15.3576,-17.0873,1,0
0.000484,15.3233,-17.2064,1,0
0.000485,15.2888,-17.3249,1,0
0.000486,15.254,-17.4429,1,0
0.000487,15.219,-17.5602,1,0
0.000488,15.1837,-17.677,1,0
0.000489,15.1483,-17.7932,1,0
0.00049,15.1126,-17.9088,1,0
0.000491,15.0766,-18.0238,1,0
0.000492,15.0405,-18.1382,1,0
0.000493,15.0041,-18.2521,1,0
0.000494,14.9675,-18.3653,1,0
0.000495,14.9306,-18.478,1,0
0.000496,14.8936,-18.59,1,0
0.000497,14.8563,-18.7015,1,0
0.000498,14.8187,-18.8123,1,0
0.000499,14.781,-18.9226,1,0
0.0005,14.7431,-19.0323,1,0
0.000501,14.7049,-19.1413,1,0
0.000502,14.6665,-19.2498,1,0
0.000503,14.6279,-19.3577,1,0
0.000504,14.5891,-19.4649,1,0
0.000505,14.55,-19.5716,1,0
0.000506,14.5108,-19.6776,1,0
0.000507,14.4713,-19.7831,1,0
0.000508,14.4316,-19.8879,1,0
0.000509,14.3918,-19.9922,1,0
